City,Place,PLace_Ratings,City_Ratings,Best_time_to_visit,Budget
Manali,1. Capture the Sceneries of Old Manali ,3.9,4.5,"March to June, September to February",2000 - 3500
Manali, 2. Engage in the Adventures of Solang Valley ,4.6,4.5,"March to June, September to February",2000 - 3500
Manali, 3. Jogini Waterfall ,4.6,4.5,"March to June, September to February",2000 - 3500
Manali, 4. Hadimba Temple ,4.4,4.5,"March to June, September to February",2000 - 3500
Manali, 5. Rohtang Pass ,4.4,4.5,"March to June, September to February",2000 - 3500
Manali, 7. Sethan Valley ,4.0,4.5,"March to June, September to February",2000 - 3500
Manali, 10. Peek into the History of Manu Temple ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 11. Bathe in the Hot Springs of Manikaran ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 12. Paraglide in the Skies ,4.0,4.5,"March to June, September to February",2000 - 3500
Manali, 15. Take a Dip in the Vashisht Baths ,3.7,4.5,"March to June, September to February",2000 - 3500
Manali, 17. Picnic in Van Vihar ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 19. Naggar ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 20. Bhrigu Lake ,3.2,4.5,"March to June, September to February",2000 - 3500
Manali, 21. Kullu ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 22. Adventure Activities ,3.7,4.5,"March to June, September to February",2000 - 3500
Manali, 23. Ski in the chilling snow ,4.0,4.5,"March to June, September to February",2000 - 3500
Manali, 24. Trek to Cafes in Malana ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 27. Trek through The Great Himalayan National Park ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 30. Trek to the Beas Kund ,4.4,4.5,"March to June, September to February",2000 - 3500
Manali, 31. Trek the Hampta Pass ,3.5,4.5,"March to June, September to February",2000 - 3500
Manali, 33. Explore the Wildlife at Manali Sanctuary ,3.9,4.5,"March to June, September to February",2000 - 3500
Manali, 35. Click Pictures at Nehru Kund ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 36. Chandrakhani Pass and the Parvati Valley ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 37. Bara Bhangal Kalihani Trek ,3.5,4.5,"March to June, September to February",2000 - 3500
Manali, 39. Deo Tibba Base Camp Trek ,3.5,4.5,"March to June, September to February",2000 - 3500
Manali, 40. Gayatri temple ,3.4,4.5,"March to June, September to February",2000 - 3500
Manali, 44. Trek to the Chandratal Baralacha lake ,3.5,4.5,"March to June, September to February",2000 - 3500
Manali, 50. Bhunter ,3.4,4.5,"March to June, September to February",2000 - 3500
Leh Ladakh, 1. Pangong Lake ,4.4,4.6,June to September,3500 - 7000
Leh Ladakh, 2. Khardung La Pass ,4.3,4.6,June to September,3500 - 7000
Leh Ladakh, 3. Nubra Valley ,3.6,4.6,June to September,3500 - 7000
Leh Ladakh, 4. Sangam ,4.4,4.6,June to September,3500 - 7000
Leh Ladakh, 5. Shanti Stupa ,4.3,4.6,June to September,3500 - 7000
Leh Ladakh, 6. Tso Moriri Lake ,4.3,4.6,June to September,3500 - 7000
Leh Ladakh, 7. Magnetic Hill ,4.3,4.6,June to September,3500 - 7000
Leh Ladakh, 8. Hall Of Fame Museum ,3.3,4.6,June to September,3500 - 7000
Leh Ladakh, 10. Zanskar Valley ,4.0,4.6,June to September,3500 - 7000
Leh Ladakh, 12. Stok Palace ,3.6,4.6,June to September,3500 - 7000
Leh Ladakh, 13. Hemis Monastery ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh, 14. White water rafting ,4.2,4.6,June to September,3500 - 7000
Leh Ladakh, 15. Pathar Sahib Gurudwara ,4.1,4.6,June to September,3500 - 7000
Leh Ladakh, 16. Kargil ,3.3,4.6,June to September,3500 - 7000
Leh Ladakh, 17. Likir Monastery ,3.6,4.6,June to September,3500 - 7000
Leh Ladakh, 18. Alchi ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh, 19. Spituk Monastery ,4.2,4.6,June to September,3500 - 7000
Leh Ladakh," 20. Diskit monastery, Lachung temple and Hundur monastery. ",3.2,4.6,June to September,3500 - 7000
Leh Ladakh," 21. Bactarian camel safari, Nubra Valley ",3.3,4.6,June to September,3500 - 7000
Leh Ladakh, 22. Leh Palace ,4.3,4.6,June to September,3500 - 7000
Leh Ladakh, 23. Tso Kar lake ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh," 24. Hemis High Altitude Wildlife Sanctuary, Hemis ",3.3,4.6,June to September,3500 - 7000
Leh Ladakh, 25. Chadar Trek ,4.0,4.6,June to September,3500 - 7000
Leh Ladakh," 30. Phuktal Monastery, Zanskar ",4.2,4.6,June to September,3500 - 7000
Leh Ladakh, 31. Lamayuru Town ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh, 34. Chemrey Monastery ,3.2,4.6,June to September,3500 - 7000
Leh Ladakh, 35. Namgyal Tsemo Gompa ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh, 36. Ladakh Trekking ,3.6,4.6,June to September,3500 - 7000
Leh Ladakh, 37. Sankar Gompa ,3.2,4.6,June to September,3500 - 7000
Leh Ladakh, 40. City Shopping ,3.6,4.6,June to September,3500 - 7000
Leh Ladakh, 41. Dah Hanu ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh, 43. Changtang Wildlife Sanctuary ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh, 44. Nyoma ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh, 45. Mountain Biking ,3.3,4.6,June to September,3500 - 7000
Leh Ladakh," 46. Panamik village, Nubra Valley ",3.2,4.6,June to September,3500 - 7000
Leh Ladakh," 47. Yarab Tso, Sumur ",3.2,4.6,June to September,3500 - 7000
Leh Ladakh," 48. MoonLand, Lamayuru ",3.2,4.6,June to September,3500 - 7000
Leh Ladakh, 49. Darcha to Padum Trek ,3.5,4.6,June to September,3500 - 7000
Leh Ladakh," 50. Maitreya Buddha, Nubra Valley ",3.3,4.6,June to September,3500 - 7000
Leh Ladakh, 52. Handicrafts Industrial Cooperative Shop ,3.2,4.6,June to September,3500 - 7000
Coorg, 1. Abbey Falls ,4.6,4.2,October to March,2500 - 4500
Coorg, 2. Raja's Seat ,3.7,4.2,October to March,2500 - 4500
Coorg, 4. Golden Temple (Namdroling Monastery) ,4.5,4.2,October to March,2500 - 4500
Coorg, 5. Trek & Camp at Tadiandamol Peak ,3.3,4.2,October to March,2500 - 4500
Coorg, 6. Take a Dip under the Iruppu Falls ,3.9,4.2,October to March,2500 - 4500
Coorg, 7. Talacauvery ,4.3,4.2,October to March,2500 - 4500
Coorg, 8. Take a Walk in Madikeri Fort ,3.4,4.2,October to March,2500 - 4500
Coorg," 9. White River rafting in Barapole River, Coorg ",3.8,4.2,October to March,2500 - 4500
Coorg, 10. Dubare Elephant Camp ,3.0,4.2,October to March,2500 - 4500
Coorg, 11. Omkareshwara Temple ,3.3,4.2,October to March,2500 - 4500
Coorg, 12. Honnamana Kere Lake ,3.3,4.2,October to March,2500 - 4500
Coorg, 13. Brahmagiri Wildlife Sanctuary ,4.2,4.2,October to March,2500 - 4500
Coorg, 14. Gaddige Raja's Tomb ,3.3,4.2,October to March,2500 - 4500
Coorg, 15. Trekking ,3.3,4.2,October to March,2500 - 4500
Coorg, 16. Take a Safari through Nagarhole National Park ,3.4,4.2,October to March,2500 - 4500
Coorg, 17. Engage in the Adventures around Somwarpet ,3.8,4.2,October to March,2500 - 4500
Coorg, 18. Honey Valley - Nilakandi Falls ,3.5,4.2,October to March,2500 - 4500
Coorg, 19. Ayurvedic treatments ,3.3,4.2,October to March,2500 - 4500
Coorg, 20. Pushpagiri Wildlife Sanctuary ,3.3,4.2,October to March,2500 - 4500
Coorg, 21. Bhagamandala ,3.8,4.2,October to March,2500 - 4500
Coorg, 22. Shopping in Coorg ,3.0,4.2,October to March,2500 - 4500
Coorg, 23. Brahmagiri Trek ,3.5,4.2,October to March,2500 - 4500
Coorg, 24. Mallalli Falls ,3.9,4.2,October to March,2500 - 4500
Coorg, 25. Kutta ,3.4,4.2,October to March,2500 - 4500
Coorg, 26. Angling (Fishing) in Coorg ,3.3,4.2,October to March,2500 - 4500
Coorg, 27. Kopatty Hills ,3.5,4.2,October to March,2500 - 4500
Coorg, 28. Rameshwara temple ,3.3,4.2,October to March,2500 - 4500
Coorg, 29. Chettali ,3.3,4.2,October to March,2500 - 4500
Coorg, 30. Nalakunad Palace ,3.3,4.2,October to March,2500 - 4500
Coorg, 31. Bird Watching ,3.3,4.2,October to March,2500 - 4500
Andaman, 1. Cellular Jail ,4.5,4.5,November to April,4000 - 7000
Andaman, 2. Elephant Beach ,4.8,4.5,November to April,4000 - 7000
Andaman, 3. Neil Island ,4.4,4.5,November to April,4000 - 7000
Andaman, 4. Radhanagar Beach ,4.6,4.5,November to April,4000 - 7000
Andaman, 5. Baratang Island ,4.7,4.5,November to April,4000 - 7000
Andaman, 7. Scuba Diving In Andaman ,4.4,4.5,November to April,4000 - 7000
Andaman, 11. Water Sports in Andamans ,4.0,4.5,November to April,4000 - 7000
Andaman, 12. Ross Island ,4.4,4.5,November to April,4000 - 7000
Andaman, 15. Corbyn's Cove ,3.4,4.5,November to April,4000 - 7000
Andaman, 16. Chidiya Tapu ,3.0,4.5,November to April,4000 - 7000
Andaman, 17. Mahatma Gandhi Marine National Park ,3.5,4.5,November to April,4000 - 7000
Andaman, 20. Snorkeling in Andamans ,3.6,4.5,November to April,4000 - 7000
Andaman, 23. City Shopping ,3.3,4.5,November to April,4000 - 7000
Andaman, 24. Long Island ,4.4,4.5,November to April,4000 - 7000
Andaman, 28. Little Andaman ,4.4,4.5,November to April,4000 - 7000
Andaman, 31. Barren Island ,3.9,4.5,November to April,4000 - 7000
Andaman, 32. Anthropological Museum ,3.0,4.5,November to April,4000 - 7000
Andaman, 34. Viper Island ,3.6,4.5,November to April,4000 - 7000
Andaman, 36. Wandoor Beach ,3.6,4.5,November to April,4000 - 7000
Andaman, 42. Samudrika Naval Marine Museum ,3.0,4.5,November to April,4000 - 7000
Andaman, 43. Chatham Saw Mill ,3.4,4.5,November to April,4000 - 7000
Andaman, 46. Rutland Island ,3.7,4.5,November to April,4000 - 7000
Andaman, 48. Diglipur ,3.0,4.5,November to April,4000 - 7000
Lakshadweep, 1. Minicoy Island ,4.4,4.0,October to March,5000 - 8000
Lakshadweep, 2. Agatti Islands ,3.6,4.0,October to March,5000 - 8000
Lakshadweep, 3. Bangaram Island ,4.3,4.0,October to March,5000 - 8000
Lakshadweep, 4. Scuba Diving in Lakshadweep ,4.0,4.0,October to March,5000 - 8000
Lakshadweep, 5. Kavaratti Islands ,3.6,4.0,October to March,5000 - 8000
Lakshadweep, 6. Kalpeni Island ,3.6,4.0,October to March,5000 - 8000
Lakshadweep, 7. Water Sports ,4.2,4.0,October to March,5000 - 8000
Lakshadweep, 8. Marine Museum ,3.6,4.0,October to March,5000 - 8000
